,Date,Ticker,Type,Invested,PnL,Reason
0,2020-01-08,AMD,BUY,200.0,,
1,2020-01-15,QCOM,BUY,200.0,,
2,2020-01-30,AAPL,BUY,200.0,,
3,2020-02-06,AMD,SELL,,5.612420331951569,TIME_EXIT
4,2020-02-06,TSLA,BUY,201.12248406639034,,
5,2020-02-13,QCOM,SELL,,0.2012485043088077,TIME_EXIT
6,2020-02-13,TSLA,BUY,201.1627337672521,,
7,2020-02-21,TSLA,BUY,201.1627337672521,,
8,2020-02-24,AAPL,SELL,,-15.98046163591411,STOP_LOSS
9,2020-02-24,TSLA,SELL,,-15.563534594571763,STOP_LOSS
10,2020-02-27,TSLA,SELL,,-19.33313112943526,STOP_LOSS
11,2020-02-27,TSLA,SELL,,-31.784364853033168,STOP_LOSS
12,2020-04-20,AMD,BUY,184.63043532466122,,
13,2020-04-21,AMD,SELL,,-13.639311242505698,STOP_LOSS
14,2020-04-27,NVDA,BUY,181.90257307616008,,
15,2020-05-04,NVDA,BUY,181.90257307616008,,
16,2020-05-26,NVDA,SELL,,30.97335896046718,TIME_EXIT
17,2020-06-02,NVDA,SELL,,37.88187548229496,TIME_EXIT
18,2020-06-16,AAPL,BUY,195.67361996471254,,
19,2020-06-23,AAPL,SELL,,7.420428447151977,TIME_EXIT
20,2020-06-23,TSLA,BUY,197.15770565414294,,
21,2020-06-30,TSLA,SELL,,14.720090697556344,TIME_EXIT
22,2020-06-30,AMD,BUY,200.10172379365423,,
23,2020-07-08,AMD,SELL,,2.509911450331714,TIME_EXIT
24,2020-07-15,TSLA,BUY,200.60370608372057,,
25,2020-07-16,TSLA,SELL,,-6.470486531727204,TIME_EXIT
26,2020-07-29,TSLA,BUY,199.30960877737513,,
27,2020-08-05,TSLA,SELL,,-2.4649069211141352,TIME_EXIT
28,2020-08-05,AMZN,BUY,198.81662739315232,,
29,2020-08-12,TSLA,BUY,198.81662739315232,,
30,2020-08-19,AAPL,BUY,198.81662739315232,,
31,2020-08-26,AAPL,BUY,198.81662739315232,,
32,2020-09-02,AMZN,SELL,,19.592279907540785,TIME_EXIT
33,2020-09-02,AAPL,BUY,202.73508337466046,,
34,2020-09-03,AAPL,SELL,,-16.78996741321467,STOP_LOSS
35,2020-09-08,AAPL,SELL,,-22.063255510062532,STOP_LOSS
36,2020-09-10,TSLA,SELL,,37.89945485566281,TIME_EXIT
37,2020-09-10,TSLA,BUY,202.5443297611376,,
38,2020-09-17,AAPL,SELL,,-9.790936305795839,TIME_EXIT
39,2020-09-17,NVDA,BUY,200.58614249997842,,
40,2020-09-24,NVDA,BUY,200.5861424999784,,
41,2020-10-01,NVDA,BUY,200.58614249997842,,
42,2020-10-08,TSLA,SELL,,29.07407124354637,TIME_EXIT
43,2020-10-08,NVDA,BUY,206.4009567486877,,
44,2020-10-15,NVDA,SELL,,23.571726136697833,TIME_EXIT
45,2020-10-15,NVDA,BUY,211.11530197602724,,
46,2020-10-22,NVDA,SELL,,15.805205207616638,TIME_EXIT
47,2020-10-22,TSLA,BUY,214.27634301755057,,
48,2020-10-28,NVDA,SELL,,-15.106600880145237,STOP_LOSS
49,2020-10-28,NVDA,SELL,,-18.63725312112328,STOP_LOSS
50,2020-10-28,NVDA,SELL,,-20.867288680106782,STOP_LOSS
51,2020-10-29,TSLA,BUY,203.35411448127553,,
52,2020-10-30,TSLA,SELL,,-19.58261502486286,STOP_LOSS
53,2020-11-05,TSLA,BUY,199.43759147630294,,
54,2020-11-12,TSLA,BUY,199.43759147630294,,
55,2020-11-19,TSLA,BUY,199.43759147630294,,
56,2020-11-27,TSLA,SELL,,85.71867060036834,TIME_EXIT
57,2020-11-27,AMD,BUY,216.58132559637662,,
58,2020-11-30,AMD,SELL,,12.897866716333596,TIME_EXIT
59,2020-12-04,TSLA,SELL,,72.45424814656451,TIME_EXIT
60,2020-12-04,NVDA,BUY,233.6517485689562,,
61,2020-12-11,TSLA,SELL,,95.12818552758921,TIME_EXIT
62,2020-12-11,TSLA,BUY,252.67738567447407,,
63,2020-12-18,TSLA,SELL,,77.35408666578218,TIME_EXIT
64,2020-12-18,TSLA,BUY,268.1482030076305,,
65,2020-12-22,TSLA,SELL,,-21.829494835435327,STOP_LOSS
66,2020-12-28,TSLA,BUY,263.7823040405434,,
